Q1_1,Q1_2,Q1_3,Q1_4,Q1_5
0,0,0,20,0
1,1,0,19,0
0,1,0,20,1
2,0,0,20,2
2,2,0,19,1
5,2,2,14,3
4,2,2,14,2
3,2,3,14,2
4,2,4,14,2
5,3,5,11,4
5,3,5,15,3
6,2,5,15,3
4,2,2,14,2
4,2,4,16,1
4,2,2,17,0
2,2,3,14,2
5,2,4,12,2
6,7,14,4,0
2,2,3,15,0
13,11,0,20,0
7,12,0,15,0
3,5,8,14,0
2,5,0,20,0
4,2,5,15,0
4,2,0,15,0
3,4,0,15,0
5,3,0,15,0
5,8,2,13,0
3,2,0,15,0
0,1,1,20,0
2,5,3,18,0
5,7,2,19,1
2,5,4,20,0
1,3,0,20,0
0,2,5,20,0
3,6,4,18,2
2,6,2,18,2
4,6,2,19,2
2,7,4,20,0
0,4,2,20,0
5,8,6,20,0
3,0,5,8,1
1,0,7,12,3
7,3,4,12,3
6,3,6,10,4
7,3,8,8,4
3,3,4,12,3
4,3,5,10,5
3,2,4,11,3
4,3,4,9,4
5,3,5,9,5
5,3,7,11,2
5,3,5,8,3
3,3,3,18,0
1,1,0,19,0
2,1,2,19,0
3,2,3,19,0
7,4,2,15,2
5,1,1,19,1
4,2,1,17,1
2,1,2,18,1
3,2,1,18,0
4,2,1,16,3
2,3,2,16,1
2,2,1,17,1
0,1,10,19,0
4,3,9,18,2
2,1,14,20,0
6,3,15,19,1
7,5,9,17,3
0,2,19,20,0
2,2,18,20,0
8,5,13,16,3
4,6,14,15,4
4,5,18,20,2
4,4,17,18,3
4,3,19,20,0
